"Modelo","Accuracy","Sensitivity","Specificity","F1","AUC"
"Logistic",0.903846153846154,0,1,NA,0.49468085106383
"RF",0.884615384615385,0.4,0.936170212765957,0.4,0.670212765957447
"SVM",0.903846153846154,0,1,NA,0.703191489361702
"kNN",0.596153846153846,0.4,0.617021276595745,0.16,0.512234042553191
